Subgraph,Sentence
<S> <H> Not fully developed cognitive abilities <POS> <T> Insufficient understanding of the finality of suicide <H> Insufficient understanding of the finality of suicide <POS> <T> Suicide ideation <E>,People having not fully developed cognitive abilities can also have insufficient understanding of the finality of suicide thereby increasing suicide ideation.
<S> <H> Peers you can talk to <POS> <T> Protective environment <E>,Having more peers you can talk to can create a protective environment.
<S> <H> Protective factors <NEG> <T> ACEs <E>,More protective factors decreases ACEs.
<S> <H> Coping Skills/Resilience <NEG> <T> Suicide ideation <E>,More coping Skills/Resilience decreases suicide ideation.
<S> <H> ACEs <POS> <T> Impulse control problems <H> Impulse control problems <POS> <T> Behavioral problems <H> Behavioral problems <POS> <T> Child risk factors <H> Behavioral problems <POS> <T> Child escalation of conflicts <E>,"More Adverse Childhood Experience increases impulse control problems, thereby increasing behavioral problems. This increase to behavioral problems increases childhood risk factors and child escalation of conflicts."
<S> <H> ACEs <POS> <T> Juvenile delinquency <H> ACEs <POS> <T> Suicide attempt <H> Juvenile delinquency <POS> <T> Child risk factors <H> Juvenile delinquency <POS> <T> Suicide ideation <E>,More adverse childhood experiences increases suicide attempts and juvenile delinquency. This increase to juvenile delinquency increases childhood risk factors and suicidal ideation.
<S> <H> ACEs <NEG> <T> Good education in early childhood <H> ACEs <NEG> <T> Quality of health <H> Good education in early childhood <POS> <T> Ability to connect <H> Quality of health <NEG> <T> Child risk factors <E>,More adverse childhood experiences reduces the quality of early childhood education and health. This reduction in early childhood education quality reduces the ability to connect. This reduction to the quality of health increases childhood risk factors.
<S> <H> Mental health treatment <NEG> <T> Mental health disorders <H> Mental health disorders <POS> <T> Long stay <E>,Improving mental health treatment decreases mental health disorders reducing long stay.
<S> <H> Vulnerability <NEG> <T> Coping skills (cognitive & emotional regulation) <E>,Increasing vulnerability worsens coping skills.
<S> <H> Suicide ideation <POS> <T> Suicide attempt <H> Suicide ideation <POS> <T> Suicide planning <E>,More suicide ideation leads to suicide planning and attempts.
<S> <H> Cumulative trauma <POS> <T> Mental health problems <H> Cumulative trauma <POS> <T> Suicide ideation <H> Mental health problems <POS> <T> Child risk factors <H> Mental health problems <POS> <T> Treatment of mental health issues <H> Mental health problems <POS> <T> Substance use <E>,"Increasing cumulative trauma increases mental health problems and suicide ideation. This increase to mental health problems in turn increases childhood risk factors, substance use, and the treatment of said issues."
<S> <H> Coping skills (cognitive & emotional regulation) <NEG> <T> Peer conflict <E>,Improving cognitive and emotional regulation reduces peer conflict.
<S> <H> Time and literacy to access resources <POS> <T> Access to care services <E>,Increasing the time and literacy to access resources increases access to care services.
<S> <H> ACEs <POS> <T> Involvement with the justice system <H> ACEs <POS> <T> Substance abuse <H> Involvement with the justice system <POS> <T> Contact with other individuals in the justice system <H> Substance abuse <POS> <T> Substance use treatment <E>,More adverse childhood experiences increases substance abuse and involvement with the justice system. More of this involvement increases contact with other individuals in the justice system. This increase to substance abuse increases substance use treatment.
<S> <H> Engaging in externalizing behaviors <POS> <T> Getting labeled at school <E>,Increasing engagement in externalizing behaviors increases getting labeled at school.
<S> <H> Victimisation of Children <POS> <T> ACEs <H> Victimisation of Children <POS> <T> Experience in acting as a reaction to feelings <E>,Increasing the victimisation children increases adverse childhood experiences and experience in acting as a reaction to feelings.
<S> <H> ACEs <NEG> <T> Neurons in brain <H> Neurons in brain <POS> <T> Ability to learn <H> Ability to learn <POS> <T> School grades <E>,"More adverse childhood experiences reduces neurons in the brain, thereby reducing the ability to learn. This reduction in the ability to learn reduces school grades."
<S> <H> Treatment of parental mental health issue <POS> <T> Hope of a positive outcome <H> Hope of a positive outcome <NEG> <T> Traumatic experience of the ACE <E>,Improving the treatment of parental mental health issues increases the hope for a positive outcome thereby reducing traumatic experiences of the ACE.
<S> <H> School problems <POS> <T> Suicide ideation <E>,Increasing school problems increases suicide ideation.
<S> <H> Externally sought medical help <POS> <T> Visit to the ER <E>,Increasing externally sought medical help increases visits to the ER.
<S> <H> Parental frustration <POS> <T> Parents' coping via substance use <E>,Increasing parental frustration increases parents' coping via substance use.
<S> <H> School risk factors <POS> <T> Negative environments <H> Negative environments <POS> <T> ACEs <E>,Increasing school risk factors increases negative environments thereby increasing adverse childhood experiences.
<S> <H> Stigma of asking for help <NEG> <T> Help-seeking behaviors <H> Help-seeking behaviors <POS> <T> Access to mental health care <E>,Increasing the stigma of asking for help decreases help-seeking behaviors thereby decreasing access to mental health care.
<S> <H> Bullying <POS> <T> Abusive relationships with peers <H> Bullying <POS> <T> ACEs <H> Bullying <POS> <T> Emotional breakup and rejection <H> ACEs <POS> <T> Shame <E>,"Increasing bullying increases abusive relationships with peers, ACEs, and emotional breakup and rejection. This increase to ACEs increases shame."
<S> <H> Family stress <POS> <T> Exposure to family stressors <H> Exposure to family stressors <POS> <T> Stress <E>,Increasing family stress increases exposure to family stressors thereby increasing stress.
<S> <H> Maternal substance use during pregnancy <POS> <T> Maternal substance use during childhood and adolescence <H> Maternal substance use during childhood and adolescence <POS> <T> Parent’s substance use <E>,Increasing maternal substance use during pregnancy increases maternal substance use during childhood and adolescence thereby Increasing parentals substance use.
<S> <H> Mental disability <POS> <T> Disabilities <H> Disabilities <POS> <T> Child risk factors <E>,Increasing mental disability increases disabilities thereby increasing child risk factors.
<S> <H> Identity is outside the socially accepted norm in the community <NEG> <T> Acceptance of one's identity <H> Acceptance of one's identity <NEG> <T> Identity conflict <E>,An identity more outside the socially accepted norm in the community decreases the acceptance of one's identity thereby increasing identity conflict.
<S> <H> Parental income from employment <NEG> <T> Lack of family income <H> Lack of family income <POS> <T> Parent engage in illegal activities <H> Parent engage in illegal activities <POS> <T> Arrest of parent <E>,Increasing parental income from employment increases family income thereby reducing parent engagement in illegal activities. This reduction of parent engage in illegal activities decrease the chance of the arrest of parent.
<S> <H> Looking for (new) means <POS> <T> Access to lethal means <E>,Increasing looking for new means increases access to lethal means.
<S> <H> Identity is outside the socially accepted norm in the community <POS> <T> Bullying <H> Bullying <POS> <T> Abusive relationships with peers <H> Bullying <POS> <T> ACEs <H> Bullying <POS> <T> Emotional breakup and rejection <H> ACEs <POS> <T> Shame <E>,"An identity more outside the socially accepted norm in the community increases bullying thereby Increasing ACEs, abusive relationships with peers, and emotional breakup and rejection. This increase to adverse childhood experiences increases shame."
<S> <H> Mental illness in the family <POS> <T> Internalized parental shame <H> Internalized parental shame <NEG> <T> Help-seeking behaviors <H> Internalized parental shame <POS> <T> Parents' defensiveness <E>,Increasing mental illness in the family increases internalized parental shame thereby Increasing parents' defensiveness and reduces help-seeking behaviors.
<S> <H> Societal risk factors <POS> <T> Neighbourhood risk factors <H> Neighbourhood risk factors <POS> <T> Family risk factors <E>,Increasing societal risk factors increases neighbourhood risk factors thereby Increasing family risk factors.
